,Brand,Product Name,Ratings,Number of ratings,Price,Delivery day,Availability,Return,Color,Material
158,KKmoon-,Ukulele,-,-,-,Jan 1 - 4,Only 1 left in stock.,7 Days Replacement,-,Mahogany
159,POOWE,"Guitar, Ukulele",-,-,-,-,,7 Days Replacement,-,Acrylonitrile Butadiene Styrene
160,Juarez,-,4.2 out of 5,171 ratings,-,"Friday, Dec 17",In stock.,7 Days Replacement,Mahogany,Mahogany
161,POOWE,"Guitar, Violin, Ukulele",-,-,-,-,,7 Days Replacement,-,Basswood
162,-,-,-,-,-,Jan 1 - 4,In stock.,7 Days Replacement,-,-
163,MAIOO,-,-,-,-,Dec 30 - Jan 3,In stock.,7 Days Replacement,Blue,Acrylonitrile Butadiene Styrene
164,MAIOO,-,-,-,-,Dec 30 - Jan 3,In stock.,7 Days Replacement,-,Sapele
165,Ubersweet,Ukulele,-,-,-,-,,10 Days Returnable,-,Sapele
166,Decdeal,"Guitar, Violin, Ukulele",-,-,-,Jan 1 - 4,In stock.,7 Days Replacement,-,Basswood
167,POOWE,Ukulele,-,-,-,-,,7 Days Replacement,-,Wood
168,AKLOT,Soprano Ukulele 21-inch,4.7 out of 5,"6,098 ratings",-,-,,7 Days Replacement,Mahogany,-
169,Ubersweet,"Guitar, Ukulele",-,-,-,-,,10 Days Returnable,-,-
170,MAIOO,Ukulele,-,-,-,Dec 30 - Jan 3,In stock.,7 Days Replacement,-,Wood
171,Kadence,-,4.8 out of 5,16 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Natural,Spruce Wood
172,Sangmei,-,-,-,-,-,,7 Days Replacement,Blue,Wood
173,Ubersweet,"Guitar, Ukulele",-,-,-,-,,10 Days Returnable,-,Sapele
174,-,-,-,-,-,Jan 1 - 4,In stock.,7 Days Replacement,-,-
175,Mahalo Ukuleles,Mahalo Ukuleles,4.4 out of 5,40 ratings,-,"Friday, Dec 17",In stock.,7 Days Replacement,Blue Burst,Mahogany
176,Flight,-,-,-,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Natural,Teak wood
177,Flight,-,5 out of 5,1 rating,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Dark Reddish Brown,Sapele
178,Flight,-,4.7 out of 5,4 ratings,-,"Saturday, Dec 18",Only 2 left in stock.,7 Days Replacement,Dark Green,Saple wood
179,Flight,-,-,-,-,"Saturday, Dec 18",Only 2 left in stock.,7 Days Replacement,Natural,Accacia
